"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"KYSE410","3","0","6","6","6","49","38","14"
"KYSE450","4","0","6","4","10","44","39","10"
"KYSE510","7","1","4","5","11","46","37","7"
"KYSE520","0","0","5","6","11","44","46","10"
"KYSE70","1","0","4","7","6","44","45","10"
"L33","0","0","1","2","2","19","0","0"
"L363","5","1","10","13","14","53","43","14"
"L428","0","0","1","9","12","44","61","26"
"L540","2","0","2","6","8","24","32","3"
"LAMA84","6","0","7","10","20","44","33","9"
"LAN6","1","0","0","5","14","36","55","27"
"LB1047RCC","3","0","6","19","10","50","34","15"
"LB2241RCC","3","0","5","9","12","55","42","12"
"LB2518MEL","2","0","4","10","16","27","63","16"
"LB373MELD","1","0","3","6","12","23","58","15"
"LB647SCLC","4","0","3","3","8","19","36","4"
"LB771HNC","1","0","4","9","10","35","62","17"
"LB831BLC","3","0","3","9","15","37","51","20"
"LB996RCC","1","0","4","12","10","34","43","7"
"LC1F","2","0","0","5","3","20","33","14"
"LC1SQSF","0","0","1","0","2","20","0","0"
"LC2ad","9","0","11","6","16","33","52","11"
"LC41","1","0","2","8","7","24","29","6"
"LCLC103H","6","0","3","2","12","50","44","5"
"LCLC97TM1","5","0","4","5","13","32","31","8"
"LK2","3","0","4","4","9","23","37","18"
"LN18","0","0","0","3","1","18","0","0"
"LN229","0","0","1","2","0","20","0","0"
"LN405","1","0","1","3","5","24","52","12"
"LNCaPCloneFGC","2","0","3","4","9","28","60","32"
"LOUCY","3","0","8","5","5","16","31","9"
"LOUNH91","0","0","1","1","2","20","0","0"
"LoVo","1","0","7","9","7","37","31","6"
"LOXIMVI","5","1","3","8","22","51","56","13"
"LP1","1","0","1","4","10","43","32","10"
"LS1034","1","0","0","8","8","33","68","20"
"LS123","3","0","4","8","9","64","59","14"
"LS411N","3","1","7","14","15","49","54","16"
"LS513","1","0","2","9","18","47","59","26"
"LU134A","1","0","4","13","10","30","55","16"
"LU135","0","0","0","2","4","8","32","6"
"LU139","0","0","7","8","12","28","53","17"
"LU165","0","0","0","2","5","16","41","13"
"LU65","0","0","4","2","9","28","63","19"
"LU99","0","0","0","4","2","18","0","0"
"LU99A","3","0","4","4","8","26","40","13"
"LUDLU1","0","1","0","3","0","19","0","0"
"LXF289","7","0","6","8","10","54","43","9"
"M059J","4","0","7","6","4","47","38","16"
"M14","3","0","4","8","9","19","40","15"
"MALME3M","0","1","1","3","2","17","0","0"
"MB157","0","0","1","3","3","17","0","0"
"MC116","4","0","4","9","11","54","59","11"
"MCAS","0","0","1","2","1","20","0","0"
"MCCAR","0","0","6","5","5","24","23","14"
"MCF7","6","0","5","7","9","46","37","11"
"MCIXC","7","0","4","6","7","32","33","9"
"MDAMB134VI","0","0","0","3","6","16","30","21"
"MDAMB157","1","0","3","4","7","48","44","14"
"MDAMB175VII","0","0","0","8","13","43","36","20"
"MDAMB231","1","0","3","6","5","28","45","10"
"MDAMB361","3","0","3","4","9","28","42","9"
"MDAMB415","1","0","4","2","6","48","37","16"
"MDAMB435S","0","1","0","3","3","17","0","0"
"MDAMB436","0","0","1","0","1","21","0","0"
"MDAMB453","2","1","3","3","4","42","46","21"
"MDAMB468","2","0","3","2","6","29","14","5"
"ME180","3","0","4","5","5","30","34","8"
"MEC1","0","0","2","2","1","19","0","0"
"MEG01","6","0","5","12","24","59","31","16"
"MELHO","3","0","9","11","10","52","25","12"
"MELJUSO","4","0","6","8","8","21","27","7"
"MESSA","5","0","1","6","5","32","14","6"
"Mewo","0","0","5","3","7","24","52","7"
"MEWO","0","0","1","1","0","22","0","0"
"MFE280","0","0","2","6","9","41","48","16"
"MFE296","2","0","3","5","7","29","11","1"
"MFE319","0","1","2","2","0","15","0","0"
"MFHino","7","0","3","10","12","24","38","15"
"MFM223","0","0","2","1","8","25","60","42"
"MG63","5","0","6","1","15","50","35","10"
"MHHCALL2","0","0","1","5","7","15","33","16"
"MHHES1","6","1","6","8","12","45","35","9"
"MHHNB11","2","0","2","5","13","36","55","20"
"MHHPREB1","6","0","9","7","10","36","54","7"
"MIAPaCa2","5","0","5","4","10","31","35","8"
"MIAPACA2","0","1","2","1","3","17","0","0"
"MINO","0","1","2","4","1","16","0","0"
"MJ","0","0","1","1","1","20","0","0"
"MKN1","2","0","3","7","9","20","47","6"
"MKN28","5","0","2","3","4","31","44","6"
"MKN45","3","0","2","11","10","39","35","13"
"MKN7","0","0","1","4","6","44","47","20"
"MKN74","0","0","1","0","2","21","0","0"
"ML2","4","0","8","8","23","34","38","10"
"MLMA","3","0","4","13","13","35","61","9"
"MMACSF","1","0","4","13","4","34","57","16"
"MN60","0","0","5","5","11","37","56","15"
"MOGGCCM","0","0","1","0","2","20","0","0"
"MOLP8","0","1","1","0","5","17","0","0"
"MOLT13","1","0","4","2","8","12","29","4"
"MOLT16","6","1","11","7","14","59","46","9"
"MOLT4","8","0","3","11","9","40","48","10"
"MONOMAC1","0","1","3","3","3","14","0","0"
"MONOMAC6","3","0","3","13","8","21","24","5"
"MORCPR","0","0","1","2","0","17","0","0"
"MoT","1","0","0","1","4","24","67","32"
"MPP89","1","0","4","9","16","52","68","12"
"MRKnu1","5","0","3","9","6","24","23","7"
"MS1","1","0","3","7","10","35","59","14"
"MSTO211H","0","0","4","3","12","54","50","37"
"MV411","14","0","11","11","18","46","24","4"
"MZ1PC","5","0","6","8","14","42","52","11"
"MZ2MEL","3","0","3","14","12","38","56","12"
"MZ7mel","2","0","6","12","14","30","59","15"
"NALM6","8","0","5","5","7","29","17","5"
"NB1","1","0","2","9","7","25","29","3"
"NB10","2","0","5","4","12","38","55","22"
"NB12","2","0","1","6","8","26","51","19"
"NB13","6","0","4","8","12","36","54","18"
"NB14","2","0","4","5","5","29","39","17"
"NB17","3","0","2","7","4","31","40","14"
"NB5","2","0","3","8","9","46","46","24"
"NB6","1","0","2","3","10","38","57","27"
"NB69","5","0","7","6","19","39","43","19"
"NB7","0","0","5","2","8","30","46","10"
"NBsusSR","4","0","2","1","6","24","12","3"
"NCCIT","2","0","4","3","9","30","25","4"
"NCIH1048","2","1","3","4","7","38","22","8"
"NCIH1092","1","0","0","8","7","60","60","17"
"NCIH1155","1","0","0","11","10","47","51","28"
"NCIH1184","0","0","2","2","1","19","0","0"
"NCIH128","0","0","0","1","1","5","21","12"
